Department,Department-Division,PCN,Position Title,FLSA Status,Initial Hire Date,Date in Title,Salary
AGR,AGR 001 Directors Office,B.001326.1,Administrative Specialist II,Non Exempt,10-Sep-1984,01-Mar-2018,59947.94
AGR,AGR 001 Directors Office,B.003590,Rural Community Coordinator,Exempt,16-Aug-2003,07-Dec-2016,85765.16
AGR,AGR 001 Directors Office,B.004807,Director of Agriculture,Exempt,01-Oct-2008,01-Oct-2008,137517.90
AGR,AGR 010 Cooperative Extension Program,B.001801.1,Administrative Assistant,Non Exempt,01-Feb-2011,14-Mar-2019,38745.46
AGR,AGR 010 Cooperative Extension Program,B.002434.1,Administrative Assistant,Non Exempt,16-Aug-1993,16-May-1999,51521.60
AGR,AGR 110 Farmers Market,N.030520,Office Assistant I,Non Exempt,16-Jul-2021,,14.14
AGR,AGR 110 Farmers Market,B.007414.1,Program Educator I,Non Exempt,16-May-2012,21-Jun-2018,31987.54
AGR,AGR 110 Farmers Market,B.000190.1,Farmer's Market Supervisor,Non Exempt,16-Mar-2017,16-Mar-2017,39863.20
AGR,AGR 110 Farmers Market,N.030636,Operations Assistant II,Non Exempt,07-Jun-2018,,13.57
AGR,AGR 310 Agricultural Reserve Program,B.005215.1,Planner II,Exempt,03-Aug-2017,03-Aug-2017,62312.12
AUD,AUD 180 City Auditor,B.001048.1,Administrative Specialist I,Non Exempt,22-May-2015,26-Apr-2018,45816.94
AUD,AUD 180 City Auditor,B.004376.1,Auditor IV,Exempt,07-Apr-2016,20-May-2021,84070.48
AUD,AUD 180 City Auditor,B.005728.1,Auditor IV,Exempt,16-Mar-2003,22-Aug-2014,91454.48
AUD,AUD 180 City Auditor,B.002257.1,Auditor IV,Exempt,16-Jul-1987,01-Aug-2009,114438.48
AUD,AUD 180 City Auditor,B.000983,City Auditor,Exempt,15-May-2008,15-May-2008,140247.90
AUD,AUD 180 City Auditor,B.007413,Auditor II,Exempt,13-Sep-2018,06-May-2021,54996.50
CAD,CAD 010 City Attorney,B.002234,Paralegal,Non Exempt,07-Oct-2015,07-Oct-2015,53250.34
CAD,CAD 010 City Attorney,B.005502.1,Paralegal,Non Exempt,01-Jan-2008,07-Feb-2016,53250.34
CAD,CAD 010 City Attorney,B.002685.1,Deputy City Attorney,Exempt,01-Sep-2000,16-Mar-2009,159823.82
CAD,CAD 010 City Attorney,B.001536.2,Legal Secretary II,Non Exempt,26-Apr-2018,26-Apr-2018,41880.80
CAD,CAD 010 City Attorney,B.005049,Associate City Attorney,Exempt,16-Nov-2006,01-Feb-2008,121402.06
CAD,CAD 010 City Attorney,B.005096.1,Paralegal,Non Exempt,16-Jun-2006,22-Oct-2014,53354.34
CAD,CAD 010 City Attorney,B.000926,Associate City Attorney,Exempt,16-May-2004,16-May-2006,122557.50
CAD,CAD 010 City Attorney,B.000135,Legal Office Administrator,Exempt,01-Sep-2004,01-Sep-2004,99320.00
CAD,CAD 010 City Attorney,B.006082.1,Paralegal,Non Exempt,01-Jun-2004,30-Aug-2018,49880.74
CAD,CAD 010 City Attorney,B.001527.1,Assistant City Attorney,Exempt,16-Aug-2018,16-Aug-2018,77930.84
CAD,CAD 010 City Attorney,B.005682,Associate City Attorney,Exempt,16-Oct-2008,16-Oct-2008,115319.10
CAD,CAD 010 City Attorney,B.001082,Associate City Attorney,Exempt,16-Apr-2013,22-Nov-2016,100551.10
CAD,CAD 010 City Attorney,B.006504,Senior Attorney,Exempt,01-Nov-2008,07-Jul-2015,126282.26
CAD,CAD 010 City Attorney,B.005024.1,Senior Attorney,Exempt,07-Jul-2014,25-Mar-2021,112977.54
CAD,CAD 010 City Attorney,B.004361,Associate City Attorney,Exempt,22-Nov-2015,22-Nov-2016,99011.90
CAD,CAD 010 City Attorney,B.001381,Associate City Attorney,Exempt,01-Sep-2007,01-Apr-2014,117087.10
CAD,CAD 010 City Attorney,B.004293,Deputy City Attorney,Exempt,01-Aug-1998,01-Mar-2007,159636.62
CAD,CAD 010 City Attorney,B.001161.3,Legal Secretary II,Non Exempt,14-Mar-2019,21-Nov-2019,40986.40
CAD,CAD 010 City Attorney,B.004631,Paralegal,Non Exempt,22-Mar-2016,22-Mar-2016,60093.28
CAD,CAD 010 City Attorney,B.005200.1,Paralegal,Non Exempt,01-Apr-2008,16-May-2011,55912.74
CAD,CAD 010 City Attorney,B.004750,Associate City Attorney,Exempt,22-Jan-2015,24-Oct-2019,96579.08
CAD,CAD 010 City Attorney,B.003992,Deputy City Attorney,Exempt,20-Sep-1999,01-Mar-2007,159636.62
CAD,CAD 010 City Attorney,B.007212,Assistant City Attorney,Exempt,14-Sep-2017,14-Sep-2017,79740.44
CAD,CAD 010 City Attorney,B.002654,Deputy City Attorney,Exempt,16-Nov-1997,01-Jul-2006,159636.62
CAD,CAD 010 City Attorney,B.002709,Paralegal,Non Exempt,22-Aug-2014,22-Aug-2014,53354.34
CAD,CAD 010 City Attorney,B.003579.3,Paralegal,Non Exempt,11-Mar-2021,11-Mar-2021,50300.12
CAD,CAD 010 City Attorney,B.007630,Office Assistant I,Non Exempt,07-Nov-2019,07-Nov-2019,31805.02
CAD,CAD 010 City Attorney,B.007213.1,Administrative Assistant,Non Exempt,20-Apr-2005,01-Nov-2011,41179.06
CAD,CAD 010 City Attorney,B.006176,Paralegal,Non Exempt,01-Jun-1998,16-Nov-2007,57056.74
CAD,CAD 010 City Attorney,B.005820,Senior Attorney,Exempt,16-Jun-2006,07-Jul-2015,131586.26
CAD,CAD 010 City Attorney,B.001627.1,Administrative Assistant,Non Exempt,16-May-1990,01-Aug-2019,51287.86
CAD,CAD 010 City Attorney,B.004977,Senior Attorney,Exempt,16-Apr-2006,16-Aug-2013,130338.26
CAD,CAD 010 City Attorney,B.001341,City Attorney,Exempt,16-Feb-1999,01-Mar-2009,234273.00
CAD,CAD 010 City Attorney,B.007664,Associate City Attorney,Exempt,01-May-2005,25-Feb-2021,103088.70
CAD,CAD 010 City Attorney,B.002227,Associate City Attorney,Exempt,22-Apr-2016,22-Apr-2016,104627.90
CAD,CAD 010 City Attorney,B.003967.1,Legal Assistant Supervisor,Non Exempt,16-May-2004,01-Apr-2014,69538.82
CAD,CAD 010 City Attorney,B.000103,Assistant City Attorney,Exempt,12-May-2007,11-Feb-2021,79999.92
CAD,CAD 010 City Attorney,B.005064.1,Legal Secretary II,Non Exempt,21-May-2020,20-May-2021,38792.00
CAD,CAD 010 City Attorney,B.005503,Associate City Attorney,Exempt,16-Jun-2004,16-Jun-2007,109432.70
CAD,CAD 010 City Attorney,B.001758.1,Deputy City Attorney,Exempt,01-Nov-1999,22-Sep-2016,153334.22
CCC,CCC 041 Clerk of Circuit Court,S.020157,Deputy Clerk I (State),Non Exempt,01-Apr-2014,01-Apr-2014,36767.64
CCC,CCC 041 Clerk of Circuit Court,S.020192,Deputy Clerk I (State),Non Exempt,24-Sep-2020,24-Sep-2020,32739.20
CCC,CCC 041 Clerk of Circuit Court,S.020193,Deputy Clerk I (State),Non Exempt,13-Aug-2019,10-Oct-2019,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020181,Deputy Clerk IV (State),Non Exempt,15-Feb-1996,01-Apr-2012,58479.46
CCC,CCC 041 Clerk of Circuit Court,S.020032.1,Deputy Clerk IV (State),Non Exempt,16-Oct-2000,01-Jan-2004,67631.46
CCC,CCC 041 Clerk of Circuit Court,S.020158,Deputy Clerk I (State),Non Exempt,01-Jun-1997,01-Aug-2000,36705.24
CCC,CCC 041 Clerk of Circuit Court,S.020185,Deputy Clerk I (State),Non Exempt,01-May-2011,01-May-2011,41926.30
